Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16474744k(10579832k free), swap 22504056k(15672108k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
96.827: [GC (Allocation Failure) 96.827: [ParNew: 82523K->1024K(92160K), 0.0007747 secs] 83941K->2442K(194560K), 0.0008430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.837: [GC (Allocation Failure) 97.837: [ParNew: 82523K->1024K(92160K), 0.0008932 secs] 83941K->2442K(194560K), 0.0010171 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.846: [GC (Allocation Failure) 99.846: [ParNew: 82523K->1024K(92160K), 0.0006295 secs] 83941K->2442K(194560K), 0.0007000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.869: [GC (Allocation Failure) 100.869: [ParNew: 82523K->1024K(92160K), 0.0012928 secs] 83941K->2442K(194560K), 0.0014018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.874: [GC (Allocation Failure) 102.874: [ParNew: 82523K->1024K(92160K), 0.0013294 secs] 83941K->2442K(194560K), 0.0014290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.885: [GC (Allocation Failure) 104.885: [ParNew: 82523K->1024K(92160K), 0.0007445 secs] 83941K->2442K(194560K), 0.0008228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.895: [GC (Allocation Failure) 105.895: [ParNew: 82523K->1024K(92160K), 0.0007314 secs] 83941K->2442K(194560K), 0.0008024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.909: [GC (Allocation Failure) 107.909: [ParNew: 82523K->1024K(92160K), 0.0006576 secs] 83941K->2442K(194560K), 0.0007260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.916: [GC (Allocation Failure) 108.916: [ParNew: 82523K->1024K(92160K), 0.0005792 secs] 83941K->2442K(194560K), 0.0006329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.929: [GC (Allocation Failure) 110.929: [ParNew: 82523K->1024K(92160K), 0.0013654 secs] 83941K->2442K(194560K), 0.0014722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.944: [GC (Allocation Failure) 111.944: [ParNew: 82523K->1024K(92160K), 0.0011782 secs] 83941K->2442K(194560K), 0.0012904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.956: [GC (Allocation Failure) 113.956: [ParNew: 82523K->1024K(92160K), 0.0007673 secs] 83941K->2442K(194560K), 0.0008192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.972: [GC (Allocation Failure) 115.972: [ParNew: 82523K->1024K(92160K), 0.0009626 secs] 83941K->2442K(194560K), 0.0010825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.987: [GC (Allocation Failure) 116.987: [ParNew: 82523K->1024K(92160K), 0.0012396 secs] 83941K->2442K(194560K), 0.0013693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.003: [GC (Allocation Failure) 119.003: [ParNew: 82523K->1024K(92160K), 0.0015224 secs] 83941K->2442K(194560K), 0.0016834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.014: [GC (Allocation Failure) 120.014: [ParNew: 82523K->1024K(92160K), 0.0007301 secs] 83941K->2442K(194560K), 0.0007820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.034: [GC (Allocation Failure) 122.035: [ParNew: 82523K->1024K(92160K), 0.0005611 secs] 83941K->2442K(194560K), 0.0006342 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.037: [GC (Allocation Failure) 124.037: [ParNew: 82523K->1024K(92160K), 0.0006623 secs] 83941K->2442K(194560K), 0.0007348 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.047: [GC (Allocation Failure) 125.047: [ParNew: 82523K->1024K(92160K), 0.0010627 secs] 83941K->2442K(194560K), 0.0011931 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
127.055: [GC (Allocation Failure) 127.055: [ParNew: 82523K->1024K(92160K), 0.0008659 secs] 83941K->2442K(194560K), 0.0009358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.063: [GC (Allocation Failure) 128.063: [ParNew: 82523K->1024K(92160K), 0.0005633 secs] 83941K->2442K(194560K), 0.0006326 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.088: [GC (Allocation Failure) 130.088: [ParNew: 82523K->1024K(92160K), 0.0006551 secs] 83941K->2442K(194560K), 0.0007247 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
131.096: [GC (Allocation Failure) 131.096: [ParNew: 82523K->1024K(92160K), 0.0007913 secs] 83941K->2442K(194560K), 0.0008534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.122: [GC (Allocation Failure) 133.122: [ParNew: 82523K->1024K(92160K), 0.0021367 secs] 83941K->2442K(194560K), 0.0022968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
135.137: [GC (Allocation Failure) 135.137: [ParNew: 82523K->0K(92160K), 0.0008847 secs] 83941K->1418K(194560K), 0.0009503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
136.149: [GC (Allocation Failure) 136.149: [ParNew: 81499K->0K(92160K), 0.0006925 secs] 82917K->1418K(194560K), 0.0007644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
138.161: [GC (Allocation Failure) 138.161: [ParNew: 81503K->0K(92160K), 0.0005244 secs] 82921K->1418K(194560K), 0.0005933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
139.166: [GC (Allocation Failure) 139.166: [ParNew: 81502K->0K(92160K), 0.0005774 secs] 82920K->1418K(194560K), 0.0006536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
141.176: [GC (Allocation Failure) 141.176: [ParNew: 81501K->0K(92160K), 0.0009090 secs] 82919K->1418K(194560K), 0.0009780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
142.195: [GC (Allocation Failure) 142.195: [ParNew: 81500K->0K(92160K), 0.0007185 secs] 82918K->1418K(194560K), 0.0007875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
144.200: [GC (Allocation Failure) 144.200: [ParNew: 81500K->0K(92160K), 0.0006672 secs] 82918K->1418K(194560K), 0.0007478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
146.211: [GC (Allocation Failure) 146.211: [ParNew: 81499K->0K(92160K), 0.0009495 secs] 82918K->1418K(194560K), 0.0010316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
147.224: [GC (Allocation Failure) 147.224: [ParNew: 81499K->0K(92160K), 0.0006276 secs] 82917K->1418K(194560K), 0.0007082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
149.238: [GC (Allocation Failure) 149.238: [ParNew: 81499K->0K(92160K), 0.0006445 secs] 82917K->1418K(194560K), 0.0007134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
150.241: [GC (Allocation Failure) 150.241: [ParNew: 81499K->0K(92160K), 0.0007881 secs] 82917K->1418K(194560K), 0.0008472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
152.250: [GC (Allocation Failure) 152.250: [ParNew: 81499K->0K(92160K), 0.0006943 secs] 82917K->1418K(194560K), 0.0007638 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
154.260: [GC (Allocation Failure) 154.260: [ParNew: 81499K->0K(92160K), 0.0011717 secs] 82917K->1418K(194560K), 0.0012435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
155.271: [GC (Allocation Failure) 155.271: [ParNew: 81499K->0K(92160K), 0.0006654 secs] 82917K->1418K(194560K), 0.0007355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
157.284: [GC (Allocation Failure) 157.284: [ParNew: 81499K->0K(92160K), 0.0009786 secs] 82917K->1418K(194560K), 0.0010504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
